session_name,mode,run_index,tokens,elapsed_s,tok_per_s
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,1,2500,56.237041,44.454686
Qwen3.6_27B_LLAMA_n_max_2,MTP,1,2500,26.164824,95.548131
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,2,2500,58.657500,42.620296
Qwen3.6_27B_LLAMA_n_max_2,MTP,2,2500,25.644028,97.488586
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,1,1500,34.363127,43.651441
Qwen3.6_27B_LLAMA_n_max_2,MTP,1,1500,15.514448,96.684073
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,2,1002,23.105801,43.365734
Qwen3.6_27B_LLAMA_n_max_2,MTP,2,1500,15.895385,94.367016
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,3,1500,35.004034,42.852204
Qwen3.6_27B_LLAMA_n_max_2,MTP,3,1500,16.047343,93.473417
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,4,1500,34.051521,44.050896
Qwen3.6_27B_LLAMA_n_max_2,MTP,4,1500,15.417624,97.291255
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,5,1500,34.617905,43.330178
Qwen3.6_27B_LLAMA_n_max_2,MTP,5,1500,16.101674,93.158018
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,6,1500,34.479291,43.504375
Qwen3.6_27B_LLAMA_n_max_2,MTP,6,1500,15.607637,96.106795
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,7,1500,34.766583,43.144879
Qwen3.6_27B_LLAMA_n_max_2,MTP,7,1500,15.704141,95.516209
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,8,1500,34.264121,43.777572
Qwen3.6_27B_LLAMA_n_max_2,MTP,8,1500,15.592031,96.202989
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,9,1500,33.764915,44.424812
Qwen3.6_27B_LLAMA_n_max_2,MTP,9,1500,15.430248,97.211658
Qwen3.6_27B_LLAMA_n_max_2,NO MTP,10,1500,33.742715,44.454040
Qwen3.6_27B_LLAMA_n_max_2,MTP,10,1500,15.392005,97.453189
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,1,1500,33.937808,44.198493
Qwen3.6_27B_LLAMA_n_max_3,MTP,1,1500,13.702611,109.468187
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,2,1500,33.746183,44.449471
Qwen3.6_27B_LLAMA_n_max_3,MTP,2,1500,13.567016,110.562260
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,3,1500,34.025908,44.084055
Qwen3.6_27B_LLAMA_n_max_3,MTP,3,1500,13.394101,111.989601
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,4,1500,33.153482,45.244116
Qwen3.6_27B_LLAMA_n_max_3,MTP,4,1500,12.873836,116.515385
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,5,1500,31.091236,48.245107
Qwen3.6_27B_LLAMA_n_max_3,MTP,5,1500,12.367056,121.289985
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,6,1500,30.914694,48.520617
Qwen3.6_27B_LLAMA_n_max_3,MTP,6,1500,12.349984,121.457650
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,7,1500,30.907156,48.532450
Qwen3.6_27B_LLAMA_n_max_3,MTP,7,1500,12.329552,121.658925
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,8,1500,30.921310,48.510234
Qwen3.6_27B_LLAMA_n_max_3,MTP,8,1500,12.373088,121.230848
Qwen3.6_27B_LLAMA_n_max_3,NO MTP,9,1500,30.934855,48.488993
